   109     -1   1491 3.429286E-05 3.429286E-05 1.120000E-05 4.609920E-16 0.000000E+00
   110     -1   1490 2.882776E-05 2.882776E-05 9.286549E-06 1.975680E-16 0.000000E+00
   111     -1   1489 2.800000E-06 2.800000E-06 2.204722E-05 9.878400E-16 0.000000E+00
   112     -1   1483 2.800000E-06 2.800000E-06 1.939897E-05 8.122240E-16 0.000000E+00
   113   1471      0 2.800000E-06 2.800000E-06 1.899052E-05 8.122240E-16 0.000000E+00
   114     -1   1467 8.284836E-05 8.284836E-05 3.959798E-06 6.585600E-17 0.000000E+00
   115   1456      0 3.781413E-05 3.781413E-05 1.009554E-05 2.414720E-16 0.000000E+00
   116     -1   1448 5.091319E-05 5.091319E-05 2.800000E-06 2.195200E-17 0.000000E+00
   117     -1   1445 2.800000E-06 2.800000E-06 1.878297E-05 6.366080E-16 0.000000E+00
   118     -1   1437 5.026683E-05 5.026683E-05 3.959798E-06 1.097600E-16 0.000000E+00
   119     -1   1428 2.800000E-06 2.800000E-06 1.960000E-05 9.878400E-16 0.000000E+00
   120   1423      0 2.325855E-05 2.325855E-05 3.959798E-06 6.585600E-17 0.000000E+00
   121     -1   1419 5.192436E-05 5.192436E-05 1.047664E-05 4.609920E-16 0.000000E+00
   122     -1   1412 2.800000E-06 2.800000E-06 1.960000E-05 9.878400E-16 0.000000E+00
   123     -1   1407 5.153775E-05 5.153775E-05 1.009554E-05 2.853760E-16 0.000000E+00
   124   1397      0 2.408651E-05 2.408651E-05 3.959798E-06 1.097600E-16 0.000000E+00
   125     -1   1392 6.481935E-05 6.481935E-05 2.375879E-05 5.488000E-16 0.000000E+00
   126   1390      0 4.361485E-05 4.361485E-05 3.959798E-06 1.097600E-16 0.000000E+00
   127     -1   1385 2.150721E-05 2.150721E-05 5.600000E-06 2.195200E-17 0.000000E+00
   128   1372      0 2.800000E-06 2.800000E-06 1.792875E-05 4.609920E-16 0.000000E+00
